iter	Logloss
0	0.3608941857
1	0.205630544
2	0.1268865745
3	0.07602912055
4	0.05427590061
5	0.04517517323
6	0.03500880133
7	0.02934957073
8	0.0242184049
9	0.01856278384
10	0.01619894337
11	0.01506376886
12	0.01380579547
13	0.01276550124
14	0.01085223799
15	0.01030616397
16	0.009331216517
17	0.008393122422
18	0.007737724485
19	0.007423636994
20	0.00717560954
21	0.00658820511
22	0.00625649083
23	0.005705175811
24	0.005389254692
25	0.005086731794
26	0.004822106244
27	0.004601122733
28	0.004511072734
29	0.004298661662
30	0.004051132823
31	0.003922316671
32	0.003783879326
33	0.003575930863
34	0.003450007663
35	0.003315710052
36	0.003218899213
37	0.003165608588
38	0.003029117645
39	0.002981782616
40	0.002902861747
41	0.002831735816
42	0.002755585806
43	0.002702715089
44	0.002638276785
45	0.002534333
46	0.002506279141
47	0.002447873875
48	0.002429761912
49	0.002377679026
50	0.002340690774
